Type:          average
Points:        1350
Count:         4
XInc:          1.481481E-012
XOrg:          3.0912800000E-008
YData range:   8.52198E-003
YData center:  2.11200E-003
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0912800000E-008
YRange:        8.16000E-003
YOffset:       2.11200E-003
Date:          03 APR 2011
Time:          17:49:19:31
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1305393E-008, 3.51E-005
3.1306874E-008, 5.32E-005
3.1308356E-008, 6.58E-005
3.1309837E-008, 5.72E-005
3.1311319E-008, 7.12E-005
3.1312800E-008, 8.03E-005
3.1314281E-008, 8.08E-005
3.1315763E-008, 1.012E-004
3.1317244E-008, 5.07E-005
3.1318726E-008, 9.08E-005
3.1320207E-008, 9.57E-005
3.1321689E-008, 9.90E-005
3.1323170E-008, 1.067E-004
3.1324652E-008, 8.85E-005
3.1326133E-008, 8.21E-005
3.1327615E-008, 1.153E-004
3.1329096E-008, 7.09E-005
3.1330578E-008, 9.87E-005
3.1332059E-008, 8.69E-005
3.1333541E-008, 3.89E-005
3.1335022E-008, 7.01E-005
3.1336504E-008, 9.02E-005
3.1337985E-008, 4.70E-005
3.1339467E-008, 4.14E-005
3.1340948E-008, 4.80E-005
3.1342430E-008, 6.73E-005
3.1343911E-008, 5.59E-005
3.1345393E-008, 3.98E-005
3.1346874E-008, 4.89E-005
3.1348356E-008, 3.37E-005
3.1349837E-008, 3.21E-005
3.1351319E-008, 2.92E-005
3.1352800E-008, 6.81E-005
3.1354281E-008, 4.05E-005
3.1355763E-008, 6.4E-006
3.1357244E-008, 1.84E-005
3.1358726E-008, 3.95E-005
3.1360207E-008, 3.33E-005
3.1361689E-008, 6.79E-005
3.1363170E-008, 7.42E-005
3.1364652E-008, 6.32E-005
3.1366133E-008, 5.23E-005
3.1367615E-008, 3.60E-005
3.1369096E-008, 3.99E-005
3.1370578E-008, 6.73E-005
3.1372059E-008, 3.99E-005
3.1373541E-008, 7.50E-005
3.1375022E-008, 5.59E-005
3.1376504E-008, 4.18E-005
3.1377985E-008, 4.30E-005
3.1379467E-008, 5.87E-005
3.1380948E-008, 3.54E-005
3.1382430E-008, 5.90E-005
3.1383911E-008, 4.58E-005
3.1385393E-008, 5.95E-005
3.1386874E-008, 9.77E-005
3.1388356E-008, 5.60E-005
3.1389837E-008, 5.79E-005
3.1391319E-008, 3.09E-005
3.1392800E-008, 5.36E-005
3.1394281E-008, 4.38E-005
3.1395763E-008, 4.60E-005
3.1397244E-008, 3.28E-005
3.1398726E-008, 4.74E-005
3.1400207E-008, 2.39E-005
3.1401689E-008, 5.28E-005
3.1403170E-008, 4.88E-005
3.1404652E-008, 3.17E-005
3.1406133E-008, 4.53E-005
3.1407615E-008, 4.13E-005
3.1409096E-008, 3.29E-005
3.1410578E-008, 3.66E-005
3.1412059E-008, 4.31E-005
3.1413541E-008, 4.05E-005
3.1415022E-008, 5.89E-005
3.1416504E-008, 4.88E-005
3.1417985E-008, 6.95E-005
3.1419467E-008, 5.42E-005
3.1420948E-008, 4.22E-005
3.1422430E-008, 3.94E-005
3.1423911E-008, 4.57E-005
3.1425393E-008, 4.14E-005
3.1426874E-008, 3.90E-005
3.1428356E-008, 4.52E-005
3.1429837E-008, 3.60E-005
3.1431319E-008, 3.64E-005
3.1432800E-008, 5.67E-005
3.1434281E-008, 5.66E-005
3.1435763E-008, 2.60E-005
3.1437244E-008, 3.43E-005
3.1438726E-008, 5.09E-005
3.1440207E-008, 3.84E-005
3.1441689E-008, 5.21E-005
3.1443170E-008, 6.72E-005
3.1444652E-008, 5.48E-005
3.1446133E-008, 4.58E-005
3.1447615E-008, 5.55E-005
3.1449096E-008, 5.71E-005
3.1450578E-008, 3.86E-005
3.1452059E-008, 7.48E-005
3.1453541E-008, 4.96E-005
3.1455022E-008, 6.42E-005
3.1456504E-008, 4.97E-005
3.1457985E-008, 8.25E-005
3.1459467E-008, 7.08E-005
3.1460948E-008, 4.44E-005
