Type:          average
Points:        1350
Count:         32
XInc:          1.481481E-012
XOrg:          3.1056800000E-008
YData range:   1.96198E-003
YData center:  4.72000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1056800000E-008
YRange:        1.60000E-003
YOffset:       4.72000E-004
Date:          03 APR 2011
Time:          17:41:23:04
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1409393E-008, 2.64876E-004
3.1410874E-008, 2.97217E-004
3.1412356E-008, 2.86828E-004
3.1413837E-008, 2.49849E-004
3.1415319E-008, 2.42738E-004
3.1416800E-008, 2.78294E-004
3.1418281E-008, 2.80552E-004
3.1419763E-008, 2.27495E-004
3.1421244E-008, 2.57703E-004
3.1422726E-008, 2.50004E-004
3.1424207E-008, 3.03246E-004
3.1425689E-008, 2.32133E-004
3.1427170E-008, 2.78913E-004
3.1428652E-008, 2.33184E-004
3.1430133E-008, 2.52756E-004
3.1431615E-008, 2.27711E-004
3.1433096E-008, 2.47438E-004
3.1434578E-008, 2.63794E-004
3.1436059E-008, 2.37853E-004
3.1437541E-008, 3.02318E-004
3.1439022E-008, 2.47221E-004
3.1440504E-008, 2.54394E-004
3.1441985E-008, 2.70410E-004
3.1443467E-008, 2.36585E-004
3.1444948E-008, 2.54271E-004
3.1446430E-008, 2.67473E-004
3.1447911E-008, 2.81541E-004
3.1449393E-008, 2.83180E-004
3.1450874E-008, 2.63515E-004
3.1452356E-008, 2.06656E-004
3.1453837E-008, 2.89518E-004
3.1455319E-008, 2.53559E-004
3.1456800E-008, 2.22610E-004
3.1458281E-008, 2.47438E-004
3.1459763E-008, 2.57919E-004
3.1461244E-008, 2.68679E-004
3.1462726E-008, 2.69328E-004
3.1464207E-008, 2.83736E-004
3.1465689E-008, 2.50622E-004
3.1467170E-008, 2.59929E-004
3.1468652E-008, 2.29443E-004
3.1470133E-008, 2.47870E-004
3.1471615E-008, 2.30340E-004
3.1473096E-008, 2.61042E-004
3.1474578E-008, 2.10211E-004
3.1476059E-008, 2.95949E-004
3.1477541E-008, 2.49324E-004
3.1479022E-008, 2.52106E-004
3.1480504E-008, 2.44129E-004
3.1481985E-008, 3.08038E-004
3.1483467E-008, 2.27248E-004
3.1484948E-008, 2.33926E-004
3.1486430E-008, 2.53807E-004
3.1487911E-008, 2.71029E-004
3.1489393E-008, 2.38719E-004
3.1490874E-008, 2.35596E-004
3.1492356E-008, 2.65247E-004
3.1493837E-008, 2.48118E-004
3.1495319E-008, 3.06554E-004
3.1496800E-008, 2.60980E-004
3.1498281E-008, 2.45582E-004
3.1499763E-008, 2.51364E-004
3.1501244E-008, 2.38100E-004
3.1502726E-008, 2.46263E-004
3.1504207E-008, 2.27990E-004
3.1505689E-008, 2.29690E-004
3.1507170E-008, 2.76316E-004
3.1508652E-008, 2.39430E-004
3.1510133E-008, 2.32968E-004
3.1511615E-008, 2.82407E-004
3.1513096E-008, 2.66793E-004
3.1514578E-008, 2.45428E-004
3.1516059E-008, 2.59589E-004
3.1517541E-008, 2.59218E-004
3.1519022E-008, 2.53714E-004
3.1520504E-008, 2.71802E-004
3.1521985E-008, 2.23816E-004
3.1523467E-008, 2.52075E-004
3.1524948E-008, 2.86704E-004
3.1526430E-008, 2.40203E-004
3.1527911E-008, 2.61969E-004
3.1529393E-008, 2.87663E-004
3.1530874E-008, 2.50468E-004
3.1532356E-008, 2.51735E-004
3.1533837E-008, 2.74522E-004
3.1535319E-008, 2.44067E-004
3.1536800E-008, 2.55507E-004
3.1538281E-008, 2.57703E-004
3.1539763E-008, 2.60887E-004
