Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.1000800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1000800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:47:18:70
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1562281E-008, 6.0924E-005
3.1563763E-008, 5.8762E-005
3.1565244E-008, 5.0411E-005
3.1566726E-008, 5.6007E-005
3.1568207E-008, 5.1301E-005
3.1569689E-008, 5.7066E-005
3.1571170E-008, 5.2276E-005
3.1572652E-008, 4.9266E-005
3.1574133E-008, 7.2073E-005
3.1575615E-008, 6.5502E-005
3.1577096E-008, 6.0797E-005
3.1578578E-008, 5.9144E-005
3.1580059E-008, 5.4820E-005
3.1581541E-008, 6.8978E-005
3.1583022E-008, 5.3548E-005
3.1584504E-008, 5.7957E-005
3.1585985E-008, 7.1183E-005
3.1587467E-008, 5.3336E-005
3.1588948E-008, 5.3082E-005
3.1590430E-008, 5.8381E-005
3.1591911E-008, 7.9364E-005
3.1593393E-008, 5.0750E-005
3.1594874E-008, 7.5252E-005
3.1596356E-008, 6.0331E-005
3.1597837E-008, 5.8338E-005
3.1599319E-008, 6.9063E-005
3.1600800E-008, 5.8465E-005
3.1602281E-008, 5.4735E-005
3.1603763E-008, 6.1051E-005
3.1605244E-008, 6.1178E-005
3.1606726E-008, 6.9953E-005
3.1608207E-008, 6.7283E-005
3.1609689E-008, 7.6354E-005
3.1611170E-008, 7.9746E-005
3.1612652E-008, 6.9699E-005
3.1614133E-008, 6.8978E-005
3.1615615E-008, 7.3006E-005
3.1617096E-008, 5.8932E-005
3.1618578E-008, 6.0839E-005
3.1620059E-008, 6.3468E-005
3.1621541E-008, 7.7457E-005
3.1623022E-008, 6.9953E-005
3.1624504E-008, 6.1602E-005
3.1625985E-008, 5.6388E-005
3.1627467E-008, 6.6138E-005
3.1628948E-008, 6.7283E-005
3.1630430E-008, 6.8766E-005
3.1631911E-008, 7.0420E-005
3.1633393E-008, 6.8343E-005
3.1634874E-008, 4.8164E-005
3.1636356E-008, 6.2959E-005
3.1637837E-008, 6.2577E-005
3.1639319E-008, 6.0500E-005
3.1640800E-008, 7.1861E-005
3.1642281E-008, 6.0585E-005
3.1643763E-008, 6.6265E-005
3.1645244E-008, 6.1433E-005
3.1646726E-008, 5.2870E-005
3.1648207E-008, 5.7914E-005
3.1649689E-008, 5.6176E-005
3.1651170E-008, 6.9021E-005
3.1652652E-008, 6.8724E-005
3.1654133E-008, 6.9741E-005
3.1655615E-008, 6.5290E-005
3.1657096E-008, 7.7753E-005
3.1658578E-008, 7.1946E-005
3.1660059E-008, 6.1602E-005
3.1661541E-008, 6.8088E-005
3.1663022E-008, 5.7745E-005
3.1664504E-008, 7.4447E-005
3.1665985E-008, 6.6265E-005
3.1667467E-008, 5.8084E-005
3.1668948E-008, 6.1772E-005
3.1670430E-008, 8.1781E-005
3.1671911E-008, 6.9063E-005
3.1673393E-008, 7.5719E-005
3.1674874E-008, 5.8593E-005
3.1676356E-008, 6.7452E-005
3.1677837E-008, 7.3006E-005
3.1679319E-008, 5.8253E-005
3.1680800E-008, 7.0971E-005
3.1682281E-008, 7.0674E-005
3.1683763E-008, 6.3891E-005
3.1685244E-008, 7.5252E-005
3.1686726E-008, 7.0716E-005
3.1688207E-008, 7.6524E-005
3.1689689E-008, 6.4273E-005
3.1691170E-008, 7.4320E-005
3.1692652E-008, 7.7075E-005
3.1694133E-008, 6.6604E-005
3.1695615E-008, 7.1183E-005
3.1697096E-008, 6.3637E-005
3.1698578E-008, 7.2370E-005
3.1700059E-008, 6.6435E-005
3.1701541E-008, 8.4027E-005
3.1703022E-008, 7.4235E-005
3.1704504E-008, 6.6393E-005
3.1705985E-008, 7.3726E-005
3.1707467E-008, 6.7156E-005
3.1708948E-008, 7.4489E-005
3.1710430E-008, 8.6147E-005
3.1711911E-008, 7.3260E-005
3.1713393E-008, 6.3552E-005
3.1714874E-008, 5.8211E-005
3.1716356E-008, 5.3718E-005
3.1717837E-008, 6.8597E-005
3.1719319E-008, 8.2204E-005
3.1720800E-008, 8.0466E-005
3.1722281E-008, 5.5540E-005
3.1723763E-008, 7.3387E-005
3.1725244E-008, 7.2200E-005
3.1726726E-008, 8.5341E-005
3.1728207E-008, 7.4574E-005
3.1729689E-008, 7.3302E-005
3.1731170E-008, 8.8012E-005
3.1732652E-008, 7.1013E-005
3.1734133E-008, 7.8601E-005
3.1735615E-008, 5.9864E-005
3.1737096E-008, 6.5884E-005
3.1738578E-008, 7.6142E-005
3.1740059E-008, 6.8427E-005
3.1741541E-008, 7.7584E-005
3.1743022E-008, 7.7160E-005
3.1744504E-008, 7.5295E-005
3.1745985E-008, 6.3086E-005
3.1747467E-008, 6.7537E-005
3.1748948E-008, 6.9911E-005
3.1750430E-008, 6.5969E-005
3.1751911E-008, 6.6350E-005
3.1753393E-008, 5.3675E-005
3.1754874E-008, 7.2073E-005
3.1756356E-008, 7.5422E-005
3.1757837E-008, 6.7919E-005
3.1759319E-008, 5.8720E-005
3.1760800E-008, 6.4061E-005
3.1762281E-008, 7.3090E-005
3.1763763E-008, 6.8766E-005
3.1765244E-008, 5.6939E-005
3.1766726E-008, 6.7198E-005
3.1768207E-008, 7.2539E-005
3.1769689E-008, 5.5286E-005
3.1771170E-008, 6.2704E-005
3.1772652E-008, 6.7622E-005
3.1774133E-008, 6.2026E-005
3.1775615E-008, 6.9106E-005
3.1777096E-008, 5.8804E-005
3.1778578E-008, 6.2493E-005
3.1780059E-008, 6.9784E-005
3.1781541E-008, 7.7245E-005
3.1783022E-008, 7.0293E-005
3.1784504E-008, 7.8940E-005
3.1785985E-008, 6.9275E-005
3.1787467E-008, 6.4654E-005
3.1788948E-008, 5.2785E-005
3.1790430E-008, 9.6194E-005
3.1791911E-008, 6.1094E-005
3.1793393E-008, 6.2535E-005
3.1794874E-008, 8.0466E-005
3.1796356E-008, 6.2365E-005
3.1797837E-008, 6.0034E-005
3.1799319E-008, 5.9864E-005
3.1800800E-008, 7.5210E-005
3.1802281E-008, 6.9826E-005
3.1803763E-008, 6.8173E-005
3.1805244E-008, 7.6651E-005
3.1806726E-008, 6.6520E-005
3.1808207E-008, 6.6011E-005
3.1809689E-008, 6.7622E-005
3.1811170E-008, 5.7575E-005
3.1812652E-008, 7.1988E-005
3.1814133E-008, 7.1098E-005
3.1815615E-008, 7.1098E-005
3.1817096E-008, 6.8639E-005
3.1818578E-008, 7.1183E-005
3.1820059E-008, 7.7838E-005
3.1821541E-008, 5.8889E-005
3.1823022E-008, 5.1344E-005
3.1824504E-008, 6.2450E-005
3.1825985E-008, 7.6397E-005
3.1827467E-008, 6.0882E-005
3.1828948E-008, 5.6091E-005
3.1830430E-008, 6.7325E-005
3.1831911E-008, 6.7749E-005
3.1833393E-008, 5.6049E-005
3.1834874E-008, 6.5926E-005
3.1836356E-008, 6.1602E-005
3.1837837E-008, 5.9440E-005
3.1839319E-008, 5.3887E-005
3.1840800E-008, 5.8423E-005
3.1842281E-008, 6.5969E-005
3.1843763E-008, 5.9991E-005
3.1845244E-008, 6.1518E-005
3.1846726E-008, 5.7236E-005
3.1848207E-008, 5.5286E-005
3.1849689E-008, 5.6685E-005
3.1851170E-008, 4.8885E-005
3.1852652E-008, 6.3298E-005
3.1854133E-008, 6.2959E-005
3.1855615E-008, 6.5248E-005
3.1857096E-008, 7.0759E-005
3.1858578E-008, 7.3302E-005
3.1860059E-008, 6.6223E-005
3.1861541E-008, 8.0254E-005
3.1863022E-008, 6.5884E-005
3.1864504E-008, 8.4578E-005
3.1865985E-008, 6.5969E-005
3.1867467E-008, 7.8135E-005
3.1868948E-008, 6.9275E-005
3.1870430E-008, 7.2200E-005
3.1871911E-008, 7.4235E-005
3.1873393E-008, 7.0420E-005
3.1874874E-008, 6.1136E-005
3.1876356E-008, 7.3429E-005
3.1877837E-008, 5.9907E-005
3.1879319E-008, 7.6439E-005
