Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.1144800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1144800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:24:51:74
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1599615E-008, -2.5215E-005
3.1601096E-008, -2.6868E-005
3.1602578E-008, -1.6694E-005
3.1604059E-008, -2.0255E-005
3.1605541E-008, -2.2714E-005
3.1607022E-008, -1.9958E-005
3.1608504E-008, -3.5940E-005
3.1609985E-008, -2.4197E-005
3.1611467E-008, -3.2040E-005
3.1612948E-008, -3.8102E-005
3.1614430E-008, -3.5262E-005
3.1615911E-008, -3.0175E-005
3.1617393E-008, -3.1616E-005
3.1618874E-008, -2.0594E-005
3.1620356E-008, -1.8856E-005
3.1621837E-008, -2.9581E-005
3.1623319E-008, -2.6783E-005
3.1624800E-008, -2.8437E-005
3.1626281E-008, -2.5766E-005
3.1627763E-008, -2.8564E-005
3.1629244E-008, -2.3477E-005
3.1630726E-008, -2.2163E-005
3.1632207E-008, -1.8475E-005
3.1633689E-008, -2.8182E-005
3.1635170E-008, -2.1103E-005
3.1636652E-008, -2.4494E-005
3.1638133E-008, -1.3345E-005
3.1639615E-008, -2.5893E-005
3.1641096E-008, -3.1192E-005
3.1642578E-008, -3.5728E-005
3.1644059E-008, -2.6063E-005
3.1645541E-008, -2.9454E-005
3.1647022E-008, -3.6491E-005
3.1648504E-008, -2.9666E-005
3.1649985E-008, -2.2036E-005
3.1651467E-008, -2.0806E-005
3.1652948E-008, -2.4876E-005
3.1654430E-008, -1.9068E-005
3.1655911E-008, -2.6487E-005
3.1657393E-008, -1.9619E-005
3.1658874E-008, -1.5634E-005
3.1660356E-008, -2.2671E-005
3.1661837E-008, -1.8220E-005
3.1663319E-008, -3.7805E-005
3.1664800E-008, -3.3312E-005
3.1666281E-008, -3.1404E-005
3.1667763E-008, -3.3142E-005
3.1669244E-008, -2.1654E-005
3.1670726E-008, -3.4541E-005
3.1672207E-008, -2.7546E-005
3.1673689E-008, -2.2205E-005
3.1675170E-008, -2.6699E-005
3.1676652E-008, -2.9836E-005
3.1678133E-008, -2.0509E-005
3.1679615E-008, -3.4838E-005
3.1681096E-008, -2.3350E-005
3.1682578E-008, -2.8606E-005
3.1684059E-008, -2.9963E-005
3.1685541E-008, -1.5846E-005
3.1687022E-008, -1.9238E-005
3.1688504E-008, -2.5088E-005
3.1689985E-008, -2.3392E-005
3.1691467E-008, -2.5172E-005
3.1692948E-008, -2.3011E-005
3.1694430E-008, -1.6991E-005
3.1695911E-008, -3.3693E-005
3.1697393E-008, -3.0132E-005
3.1698874E-008, -1.6991E-005
3.1700356E-008, -2.6359E-005
3.1701837E-008, -1.6525E-005
3.1703319E-008, -1.8856E-005
3.1704800E-008, -2.6190E-005
3.1706281E-008, -2.5936E-005
3.1707763E-008, -3.1022E-005
3.1709244E-008, -2.3222E-005
3.1710726E-008, -1.8263E-005
3.1712207E-008, -6.478E-006
3.1713689E-008, -1.3388E-005
3.1715170E-008, -2.6063E-005
3.1716652E-008, -1.5592E-005
3.1718133E-008, -2.3222E-005
3.1719615E-008, -2.2502E-005
3.1721096E-008, -2.0382E-005
3.1722578E-008, -3.1150E-005
3.1724059E-008, -2.7801E-005
3.1725541E-008, -1.2582E-005
3.1727022E-008, -2.5808E-005
3.1728504E-008, -2.3519E-005
3.1729985E-008, -1.4193E-005
3.1731467E-008, -2.6529E-005
3.1732948E-008, -4.401E-006
3.1734430E-008, -1.4278E-005
3.1735911E-008, -1.8432E-005
3.1737393E-008, -1.5677E-005
3.1738874E-008, -2.3731E-005
3.1740356E-008, -2.1739E-005
3.1741837E-008, -2.8013E-005
3.1743319E-008, -3.2718E-005
3.1744800E-008, -1.4151E-005
3.1746281E-008, -1.8814E-005
3.1747763E-008, -1.6567E-005
3.1749244E-008, -1.4702E-005
3.1750726E-008, -1.7669E-005
