Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.0940800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0940800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:22:15:12
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1392652E-008, -3.6406E-005
3.1394133E-008, -3.9119E-005
3.1395615E-008, -4.0518E-005
3.1397096E-008, -5.0099E-005
3.1398578E-008, -3.6618E-005
3.1400059E-008, -5.1158E-005
3.1401541E-008, -4.7004E-005
3.1403022E-008, -4.5605E-005
3.1404504E-008, -4.2892E-005
3.1405985E-008, -5.5949E-005
3.1407467E-008, -5.1031E-005
3.1408948E-008, -4.8149E-005
3.1410430E-008, -4.8106E-005
3.1411911E-008, -4.3485E-005
3.1413393E-008, -4.8276E-005
3.1414874E-008, -4.2002E-005
3.1416356E-008, -4.6453E-005
3.1417837E-008, -5.6245E-005
3.1419319E-008, -3.9458E-005
3.1420800E-008, -3.8102E-005
3.1422281E-008, -4.1663E-005
3.1423763E-008, -4.9166E-005
3.1425244E-008, -4.5647E-005
3.1426726E-008, -3.5389E-005
3.1428207E-008, -4.7131E-005
3.1429689E-008, -5.0565E-005
3.1431170E-008, -3.9967E-005
3.1432652E-008, -4.2214E-005
3.1434133E-008, -4.1705E-005
3.1435615E-008, -4.1747E-005
3.1437096E-008, -4.7470E-005
3.1438578E-008, -4.8233E-005
3.1440059E-008, -5.0099E-005
3.1441541E-008, -4.0730E-005
3.1443022E-008, -4.8233E-005
3.1444504E-008, -3.8695E-005
3.1445985E-008, -4.1959E-005
3.1447467E-008, -4.9378E-005
3.1448948E-008, -4.0900E-005
3.1450430E-008, -5.3363E-005
3.1451911E-008, -4.2299E-005
3.1453393E-008, -4.1620E-005
3.1454874E-008, -4.1281E-005
3.1456356E-008, -4.0942E-005
3.1457837E-008, -4.1535E-005
3.1459319E-008, -4.6580E-005
3.1460800E-008, -4.5224E-005
3.1462281E-008, -5.3956E-005
3.1463763E-008, -3.5262E-005
3.1465244E-008, -4.8191E-005
3.1466726E-008, -3.8822E-005
3.1468207E-008, -4.3613E-005
3.1469689E-008, -4.5308E-005
